id;subscription_name;subscription_amount;tax_amount;total_amount;subscription_start_date;subscription_expiry_date;additional_comments;notification_before_expiry;notification_mute_flag;notification_to;notification_cc;notification_bcc
1;hmph save;32328.03;1443.28;29625.27;2024-05-29;2024-05-29;where;23591;true;terribly how;psst why characterise;although
2;a;32216.08;32433.45;25714.75;2024-05-29;2024-05-29;fasten;856;false;naughty likewise;um although illiterate;excrete
3;quicker ouch;13074.42;27742.93;31460.4;2024-05-29;2024-05-29;geez;7366;false;wealthy uselessly;almost blah curler;inexperienced down
4;energetically previous phew;27142.28;20488.78;1262.64;2024-05-29;2024-05-30;bravely beneath;8532;false;rarely;amid till;fervently irritably joyously
5;psst hm disinvest;17906.13;19929.23;27928.32;2024-05-29;2024-05-30;coconut;9107;true;terribly brr;dependency cayenne;shakily nor kookily
6;valid;6801.83;9177.57;2840.33;2024-05-29;2024-05-29;round;23286;false;furiously famously theme;onto onto elegant;psst phew
7;jovially hmph;27380.95;17214.75;2826.66;2024-05-29;2024-05-29;accurate;9191;true;anxiously blazer infringe;listing weird;yuck crossly
8;including;2981.32;26642.32;7915.77;2024-05-29;2024-05-29;ferociously;30846;true;aboard zowie;ritualize elegantly solidly;shack awkwardly opposition
9;riffle enthusiastically;10639.53;20467.67;14510.82;2024-05-29;2024-05-30;since witty unloose;27464;true;yet via;indeed;uh-huh
10;among zowie;26693.83;14432.67;11620.59;2024-05-29;2024-05-29;about;17607;true;fat gee rumble;dashboard spur;wobbly marksman during
